----------------------------------------
Global Perplexity over 521 songs: 1.1616
----------------------------------------

Carcassi_Valse_Op4_No2: tokens=397, perplexity=1.0526
Cardoso_24_Piezas_Sudamericanas_5Wayno: tokens=400, perplexity=1.1931
Cardoso_48_Piezas_Suite_de_los_Mita_39_Pasillo_Costarricense: tokens=164, perplexity=1.1777
Cardoso_Suite_Mita_Vol2_2Chamarrita_Clementina_Bacci: tokens=237, perplexity=1.1144
Cardoso_Suite_Mita_Vol2_6Cueca_Josef: tokens=247, perplexity=1.1539
Cardoso_Suite_Popular_No3_2_Cancion: tokens=1023, perplexity=1.1290
Cardoso_Suite_Popular_No3_Vals_Venezolano: tokens=727, perplexity=1.1423
Carlevaro_Milonga_Oriental: tokens=699, perplexity=1.2061
Carlevaro_Preludio_Americanos_Campo: tokens=785, perplexity=1.2532
Carlevaro_Preludios_Americanos_No1_Evocacion: tokens=1023, perplexity=1.2083
Carlevaro_Preludios_Americanos_No2_Scherzino: tokens=750, perplexity=1.3002
Carlevaro_Preludios_Americanos_No4_Ronda: tokens=599, perplexity=1.2242
Carlevaro_Preludios_Americanos_No5_Tamboriles: tokens=1023, perplexity=1.2331
Carlevaro_Vidalita: tokens=879, perplexity=1.3053
Carulli_18_Duos_1ere_Suite_No1: tokens=855, perplexity=1.1242
Carulli_18_Duos_1ere_Suite_No7: tokens=789, perplexity=1.1128
Carulli_Duetto_No1_Op128: tokens=1023, perplexity=1.0987
Carulli_Duetto_No2_Op4: tokens=1014, perplexity=1.0990
Carulli_Duetto_Op191_No.2: tokens=1020, perplexity=1.1567
Carulli_Duo_No2_Op128: tokens=1023, perplexity=1.1110
Carulli_Duo_Op34_No4: tokens=1015, perplexity=1.0814
Carulli_Duo_Op37_Romanza: tokens=657, perplexity=1.0994
Carulli_Fantaisie_Air_national_anglais_Op102: tokens=1023, perplexity=1.1498
Carulli_Huguenots_Grand_Air: tokens=541, perplexity=1.2367
Carulli_Huguenots_Orgie: tokens=1023, perplexity=1.1362
Carulli_Moderato_Op211_No18: tokens=1023, perplexity=1.1003
Carulli_Prelude2: tokens=58, perplexity=1.1154
Carulli_Sonate_No3_Op21_3_Rondeau_Allegretto_Con_Poco_Moto: tokens=1023, perplexity=1.1261
Carulli_Trois_Duos_Op89_No2: tokens=1023, perplexity=1.1053
Carulli_Trois_Duos_Op89_No3: tokens=1023, perplexity=1.1016
Carulli_Variations_Op142: tokens=1023, perplexity=1.1810
Castelnuovo-Tedesco_Fugue%2015: tokens=698, perplexity=1.2583
Castelnuovo-Tedesco_Fugue%2023: tokens=377, perplexity=1.3643
Castelnuovo-Tedesco_Fugue9_Op199: tokens=569, perplexity=1.2540
Castelnuovo-Tedesco_Prelude%2024: tokens=595, perplexity=1.1497
Castelnuovo-Tedesco_Prelude8_Op199: tokens=658, perplexity=1.1634
Chopin_Nocturne_No20: tokens=383, perplexity=1.4775
Chopin_Nocturne_Op27_No1: tokens=1023, perplexity=1.2083
Chopin_Valse_Op64_No2: tokens=1023, perplexity=1.1268
Cisneros_Homenaje_Lauro: tokens=892, perplexity=1.0831
Cisneros_Homenaje_Raul_Borges: tokens=500, perplexity=1.1304
Cisneros_Loriana: tokens=547, perplexity=1.1013
Cisneros_Na-Shi-suam: tokens=558, perplexity=1.0906
Cisneros_Norah: tokens=563, perplexity=1.0971
Cisneros_Vals_Venezolano_No2: tokens=546, perplexity=1.0901
Cisneros_Zulay: tokens=735, perplexity=1.0926
Coste_Etude_Op38_No17: tokens=293, perplexity=1.2594
Coste_La_Vallee_d'Omans_Montagnards3_Op17: tokens=1019, perplexity=1.1300
Coste_Livre_Or_No27bis_Op52: tokens=289, perplexity=1.1323
Coste_Menuet_Exaudet_Op52_No15: tokens=258, perplexity=1.0907
Coste_Montagnard_Op34: tokens=1023, perplexity=1.2356
Coste_Op2_1_Theme: tokens=197, perplexity=1.1548
Coste_Prelude_Op49_No3: tokens=79, perplexity=1.3358
Coste_Quadrilles_Contredanse%20Op3_No2b: tokens=229, perplexity=1.1916
Coste_Quadrilles_Contredanse%20Op3_No3: tokens=221, perplexity=1.1736
Coste_Souvenirs_de_Flandres_Op5_No3_Valse: tokens=563, perplexity=1.1166
Coste_Valse_Op41_No4%20: tokens=1023, perplexity=1.0922
Coste_Valse_Op7_No7: tokens=167, perplexity=1.0981
Cutting_Almain: tokens=343, perplexity=1.2238
Cutting_Anne_Markham_Galliard: tokens=506, perplexity=1.1987
Cutting_Anne_Markham_Pavana: tokens=610, perplexity=1.3370
Cutting_Pavana: tokens=951, perplexity=1.1499
Cutting_Porter_Pavana: tokens=669, perplexity=1.1890
Cutting_Toy: tokens=197, perplexity=1.1206
Debussy_Berceuse_Heroique: tokens=661, perplexity=1.4331
Diabelli_Apollo_am_Damentoilette_Heft1_No10: tokens=193, perplexity=1.1233
Diabelli_Apollo_am_Damentoilette_Heft1_No3: tokens=210, perplexity=1.2080
Diabelli_Apollo_am_Damentoilette_Heft2_No15: tokens=182, perplexity=1.1065
Diabelli_Apollo_am_Damentoilette_Heft4_No6: tokens=237, perplexity=1.0449
Diabelli_Apollo_am_Damentoilette_Heft9_No3: tokens=401, perplexity=1.2062
Diabelli_Apollo_am_Damentoilette_Heft9_No5: tokens=312, perplexity=1.2260
Diabelli_Differentes_Pieces_Pianoforte_Guitare_No26: tokens=1016, perplexity=1.0920
Diabelli_Differentes_Pieces_Pianoforte_Guitare_No30: tokens=1012, perplexity=1.1137
Diabelli_Quatrieme_serenade_concertante_Op96_Menuetto_Trio: tokens=1023, perplexity=1.0623
Diabelli_Variations_Favorite_Theme_Op57: tokens=1023, perplexity=1.1204
Dowland_Lachrimae: tokens=1023, perplexity=1.2239
Dowland_Semper_Dowland: tokens=388, perplexity=1.5139
Duarte_13My_Boy_Willie: tokens=111, perplexity=1.1970
Duarte_Homage_Antonio_Lauro_Waltz2_Op.83: tokens=676, perplexity=1.0743
Duarte_Pequena_Suite_Venezolano_IVals: tokens=402, perplexity=1.2094
Duarte_Sonatinette_Vivo_Op35: tokens=811, perplexity=1.1120
Duarte_Suite_Piemontese_Op46_2Canzona: tokens=451, perplexity=1.3250
Dyens_Java_Bleue: tokens=578, perplexity=1.5606
Dyens_Lettre_Saudade: tokens=231, perplexity=1.6079
Dyens_Lettre_Sydney: tokens=202, perplexity=1.3135
Dyens_Un_Jour_Verras: tokens=782, perplexity=1.2105
Falla_Amor_Brujo_Circulo_Magico: tokens=213, perplexity=1.2065
Falla_Amour_Sorcier_Chanson_Feu_Follet: tokens=459, perplexity=1.1211
Falla_Cornered_Hat_Dance_Corregidor: tokens=585, perplexity=1.1884
Falla_Cornered_Hat_Millers_Dance: tokens=775, perplexity=1.1714
Falla_Danza_Segador: tokens=710, perplexity=1.2029
Falla_Fantasia_Baetica_Intermezzo: tokens=284, perplexity=1.2026
Falla_LaVida_Breve_SpanishDance_No1: tokens=1023, perplexity=1.1573
Falla_Nana: tokens=314, perplexity=1.0872
Falla_Serenata_Andaluza: tokens=1023, perplexity=1.2462
Falu_Alla_en_Sur: tokens=596, perplexity=1.2413
Ferranti_Capricho_Fantastico_Nuit_Walpurgis: tokens=1022, perplexity=1.1549
Ferranti_Seis_Nocturnos_Biblicos_Op3_No2: tokens=421, perplexity=1.2715
Ferrer_Brisas_del_Parnaso_No3Nocturno: tokens=858, perplexity=1.1576
Ferrer_Ejercicio_E_minor: tokens=361, perplexity=1.1230
Ferrer_Gondolero_Op51: tokens=518, perplexity=1.2379
Ferrer_Horas_Apacibles_No7Minue: tokens=494, perplexity=1.1177
Ferrer_Mensagero: tokens=1023, perplexity=1.1091
Garoto_Despedida: tokens=1023, perplexity=1.0671
Garoto_Gente_Humilde: tokens=274, perplexity=1.1679
Garoto_Sinal_dos_Tempos: tokens=822, perplexity=1.1655
GillesLouise_Impromptu_Dmineur: tokens=1023, perplexity=1.1578
GillesLouise_Lento: tokens=1023, perplexity=1.1235
GillesLouise_Prelude_en_mi_mineur: tokens=478, perplexity=1.3500
GillesLouise_Rhapsodie_estuaire: tokens=1023, perplexity=1.1395
GillesLouise_Serenade: tokens=1023, perplexity=1.0405
Giuliani_Andante_D: tokens=115, perplexity=1.1047
Giuliani_Bagatelle_Chitarra_Op73_No4: tokens=243, perplexity=1.1433
Giuliani_Bagatelle_Chitarra_Op73_No9: tokens=391, perplexity=1.0962
Giuliani_Cahier%20II_Rondo_No1: tokens=1023, perplexity=1.1272
Giuliani_Etude_No16_Op48: tokens=191, perplexity=1.2186
Giuliani_Etude_No18_Op48: tokens=161, perplexity=1.1996
Giuliani_Etude_No20_Op48: tokens=192, perplexity=1.1243
Giuliani_Etudes_Op1_Pt3_No2: tokens=63, perplexity=1.3288
Giuliani_Etudes_Op1_Pt4_No6: tokens=152, perplexity=1.1854
Giuliani_Etudes_Op1_Pt4_No8: tokens=211, perplexity=1.2710
Giuliani_Gran_Duetto_Concertante_Op52: tokens=1023, perplexity=1.2515
Giuliani_Landler_No5_Op94: tokens=259, perplexity=1.0426
Giuliani_Landler_No7_Op55: tokens=255, perplexity=1.0594
Giuliani_Marche_Opera_Les_Deux_Journees_Cherubini: tokens=1023, perplexity=1.1099
Giuliani_Op1_Parte2_No10: tokens=121, perplexity=1.1654
Giuliani_Op1_Parte2_No8: tokens=111, perplexity=1.1922
Giuliani_Op51_No11: tokens=198, perplexity=1.1216
Giuliani_Op51_No18: tokens=337, perplexity=1.1566
Giuliani_Op74_No13_Menuetto: tokens=581, perplexity=1.0478
Giuliani_Papillon_Op50_No14: tokens=71, perplexity=1.2401
Giuliani_Papillon_Op50_No31: tokens=142, perplexity=1.2092
Giuliani_Papillon_Op50_No6: tokens=185, perplexity=1.1426
Giuliani_Polonaise_Concertante_No3_Op137: tokens=1023, perplexity=1.1573
Giuliani_Rondeau_No2_Op66: tokens=1012, perplexity=1.1629
Giuliani_Rondeau_Op14_No5: tokens=554, perplexity=1.1004
Giuliani_Rondo_No1_Op94: tokens=1023, perplexity=1.0966
Giuliani_Rossiniana_No1_Op119_Andante_graciozo_maestoso_moderato: tokens=965, perplexity=1.2356
Giuliani_Rossiniana_No5_Op123: tokens=1023, perplexity=1.2489
Giuliani_Rossiniana_No6_Op124: tokens=1020, perplexity=1.1772
Giuliani_Semiramide: tokens=1023, perplexity=1.1490
Giuliani_Tersicore_Op147_No2: tokens=308, perplexity=1.1297
Giuliani_Tersicore_Op147_No5: tokens=445, perplexity=1.0781
Giuliani_Variations_Handel_Op107: tokens=1023, perplexity=1.0602
Gnattali_Estudo_No1: tokens=703, perplexity=1.1315
Granados_Arabesca_No12_Op37: tokens=1023, perplexity=1.1312
Granados_Danza_Espagnola_No7_Op37: tokens=1023, perplexity=1.1584
Granados_Villanesca_Op37_No4: tokens=1015, perplexity=1.1227
Haendel_Menuet_HWV500: tokens=180, perplexity=1.0977
Handel_Aylesford_Menuet_in_D: tokens=360, perplexity=1.1323
Handel_Suite_No11_Courante: tokens=729, perplexity=1.1364
Holborne_French_Toy: tokens=351, perplexity=1.0813
