----------------------------------------
Global Perplexity over 521 songs: 1.6624
----------------------------------------

Carcassi_Valse_Op4_No2: tokens=397, perplexity=1.4591
Cardoso_24_Piezas_Sudamericanas_5Wayno: tokens=400, perplexity=1.7395
Cardoso_48_Piezas_Suite_de_los_Mita_39_Pasillo_Costarricense: tokens=164, perplexity=1.5128
Cardoso_Suite_Mita_Vol2_2Chamarrita_Clementina_Bacci: tokens=237, perplexity=1.6219
Cardoso_Suite_Mita_Vol2_6Cueca_Josef: tokens=247, perplexity=1.6313
Cardoso_Suite_Popular_No3_2_Cancion: tokens=1023, perplexity=2.2983
Cardoso_Suite_Popular_No3_Vals_Venezolano: tokens=727, perplexity=1.7020
Carlevaro_Milonga_Oriental: tokens=699, perplexity=1.6022
Carlevaro_Preludio_Americanos_Campo: tokens=785, perplexity=1.8325
Carlevaro_Preludios_Americanos_No1_Evocacion: tokens=1023, perplexity=1.4675
Carlevaro_Preludios_Americanos_No2_Scherzino: tokens=750, perplexity=1.6523
Carlevaro_Preludios_Americanos_No4_Ronda: tokens=599, perplexity=1.6344
Carlevaro_Preludios_Americanos_No5_Tamboriles: tokens=1023, perplexity=1.5801
Carlevaro_Vidalita: tokens=879, perplexity=1.7038
Carulli_18_Duos_1ere_Suite_No1: tokens=855, perplexity=1.3354
Carulli_18_Duos_1ere_Suite_No7: tokens=789, perplexity=1.4114
Carulli_Duetto_No1_Op128: tokens=1023, perplexity=1.4226
Carulli_Duetto_No2_Op4: tokens=1023, perplexity=1.4665
Carulli_Duetto_Op191_No.2: tokens=1020, perplexity=1.5524
Carulli_Duo_No2_Op128: tokens=1023, perplexity=1.4647
Carulli_Duo_Op34_No4: tokens=1015, perplexity=1.3738
Carulli_Duo_Op37_Romanza: tokens=657, perplexity=1.5543
Carulli_Fantaisie_Air_national_anglais_Op102: tokens=1017, perplexity=1.4360
Carulli_Huguenots_Grand_Air: tokens=541, perplexity=1.6153
Carulli_Huguenots_Orgie: tokens=1023, perplexity=1.5168
Carulli_Moderato_Op211_No18: tokens=1023, perplexity=1.4198
Carulli_Prelude2: tokens=58, perplexity=1.6336
Carulli_Sonate_No3_Op21_3_Rondeau_Allegretto_Con_Poco_Moto: tokens=1023, perplexity=1.8587
Carulli_Trois_Duos_Op89_No2: tokens=1015, perplexity=1.3555
Carulli_Trois_Duos_Op89_No3: tokens=1023, perplexity=1.3855
Carulli_Variations_Op142: tokens=1023, perplexity=1.9002
Castelnuovo-Tedesco_Fugue%2015: tokens=698, perplexity=1.6540
Castelnuovo-Tedesco_Fugue%2023: tokens=377, perplexity=1.9344
Castelnuovo-Tedesco_Fugue9_Op199: tokens=569, perplexity=1.8312
Castelnuovo-Tedesco_Prelude%2024: tokens=595, perplexity=1.6420
Castelnuovo-Tedesco_Prelude8_Op199: tokens=658, perplexity=1.6232
Chopin_Nocturne_No20: tokens=383, perplexity=2.8728
Chopin_Nocturne_Op27_No1: tokens=1023, perplexity=1.5781
Chopin_Valse_Op64_No2: tokens=1023, perplexity=1.6860
Cisneros_Homenaje_Lauro: tokens=892, perplexity=1.4000
Cisneros_Homenaje_Raul_Borges: tokens=500, perplexity=1.9280
Cisneros_Loriana: tokens=547, perplexity=1.8671
Cisneros_Na-Shi-suam: tokens=558, perplexity=1.8655
Cisneros_Norah: tokens=563, perplexity=1.8290
Cisneros_Vals_Venezolano_No2: tokens=546, perplexity=1.5118
Cisneros_Zulay: tokens=735, perplexity=1.9572
Coste_Etude_Op38_No17: tokens=293, perplexity=1.8102
Coste_La_Vallee_d'Omans_Montagnards3_Op17: tokens=1019, perplexity=1.4968
Coste_Livre_Or_No27bis_Op52: tokens=289, perplexity=1.5399
Coste_Menuet_Exaudet_Op52_No15: tokens=258, perplexity=1.5267
Coste_Montagnard_Op34: tokens=1023, perplexity=1.6193
Coste_Op2_1_Theme: tokens=197, perplexity=1.5841
Coste_Prelude_Op49_No3: tokens=79, perplexity=1.8369
Coste_Quadrilles_Contredanse%20Op3_No2b: tokens=229, perplexity=1.5226
Coste_Quadrilles_Contredanse%20Op3_No3: tokens=221, perplexity=1.4975
Coste_Souvenirs_de_Flandres_Op5_No3_Valse: tokens=563, perplexity=1.5561
Coste_Valse_Op41_No4%20: tokens=1023, perplexity=1.4477
Coste_Valse_Op7_No7: tokens=167, perplexity=1.6105
Cutting_Almain: tokens=343, perplexity=1.6280
Cutting_Anne_Markham_Galliard: tokens=506, perplexity=1.6718
Cutting_Anne_Markham_Pavana: tokens=610, perplexity=2.5011
Cutting_Pavana: tokens=951, perplexity=1.5235
Cutting_Porter_Pavana: tokens=669, perplexity=2.3565
Cutting_Toy: tokens=197, perplexity=1.5237
Debussy_Berceuse_Heroique: tokens=661, perplexity=1.9183
Diabelli_Apollo_am_Damentoilette_Heft1_No10: tokens=193, perplexity=1.3922
Diabelli_Apollo_am_Damentoilette_Heft1_No3: tokens=210, perplexity=1.4653
Diabelli_Apollo_am_Damentoilette_Heft2_No15: tokens=182, perplexity=1.3904
Diabelli_Apollo_am_Damentoilette_Heft4_No6: tokens=237, perplexity=1.3791
Diabelli_Apollo_am_Damentoilette_Heft9_No3: tokens=401, perplexity=1.4942
Diabelli_Apollo_am_Damentoilette_Heft9_No5: tokens=312, perplexity=1.5895
Diabelli_Differentes_Pieces_Pianoforte_Guitare_No26: tokens=1023, perplexity=1.6010
Diabelli_Differentes_Pieces_Pianoforte_Guitare_No30: tokens=1012, perplexity=1.8286
Diabelli_Quatrieme_serenade_concertante_Op96_Menuetto_Trio: tokens=1020, perplexity=1.4151
Diabelli_Variations_Favorite_Theme_Op57: tokens=1023, perplexity=1.8608
Dowland_Lachrimae: tokens=1012, perplexity=1.5403
Dowland_Semper_Dowland: tokens=388, perplexity=2.1867
Duarte_13My_Boy_Willie: tokens=111, perplexity=1.3826
Duarte_Homage_Antonio_Lauro_Waltz2_Op.83: tokens=676, perplexity=1.6018
Duarte_Pequena_Suite_Venezolano_IVals: tokens=402, perplexity=1.7698
Duarte_Sonatinette_Vivo_Op35: tokens=811, perplexity=1.5778
Duarte_Suite_Piemontese_Op46_2Canzona: tokens=451, perplexity=1.9215
Dyens_Java_Bleue: tokens=578, perplexity=2.2240
Dyens_Lettre_Saudade: tokens=231, perplexity=2.1272
Dyens_Lettre_Sydney: tokens=202, perplexity=1.6993
Dyens_Un_Jour_Verras: tokens=782, perplexity=1.6048
Falla_Amor_Brujo_Circulo_Magico: tokens=213, perplexity=1.6130
Falla_Amour_Sorcier_Chanson_Feu_Follet: tokens=459, perplexity=1.6968
Falla_Cornered_Hat_Dance_Corregidor: tokens=585, perplexity=1.6259
Falla_Cornered_Hat_Millers_Dance: tokens=775, perplexity=1.8557
Falla_Danza_Segador: tokens=710, perplexity=1.8729
Falla_Fantasia_Baetica_Intermezzo: tokens=284, perplexity=1.5748
Falla_LaVida_Breve_SpanishDance_No1: tokens=1023, perplexity=1.4983
Falla_Nana: tokens=314, perplexity=2.0859
Falla_Serenata_Andaluza: tokens=1023, perplexity=1.7262
Falu_Alla_en_Sur: tokens=596, perplexity=1.5823
Ferranti_Capricho_Fantastico_Nuit_Walpurgis: tokens=1023, perplexity=1.9394
Ferranti_Seis_Nocturnos_Biblicos_Op3_No2: tokens=421, perplexity=2.2486
Ferrer_Brisas_del_Parnaso_No3Nocturno: tokens=858, perplexity=1.4835
Ferrer_Ejercicio_E_minor: tokens=361, perplexity=1.4628
Ferrer_Gondolero_Op51: tokens=518, perplexity=1.6330
Ferrer_Horas_Apacibles_No7Minue: tokens=494, perplexity=1.5744
Ferrer_Mensagero: tokens=1023, perplexity=1.3920
Garoto_Despedida: tokens=1023, perplexity=1.5821
Garoto_Gente_Humilde: tokens=274, perplexity=2.0266
Garoto_Sinal_dos_Tempos: tokens=822, perplexity=1.8892
GillesLouise_Impromptu_Dmineur: tokens=1023, perplexity=1.7307
GillesLouise_Lento: tokens=1023, perplexity=1.5830
GillesLouise_Prelude_en_mi_mineur: tokens=478, perplexity=2.0895
GillesLouise_Rhapsodie_estuaire: tokens=1023, perplexity=1.5692
GillesLouise_Serenade: tokens=1023, perplexity=1.4058
Giuliani_Andante_D: tokens=115, perplexity=1.4746
Giuliani_Bagatelle_Chitarra_Op73_No4: tokens=243, perplexity=1.5052
Giuliani_Bagatelle_Chitarra_Op73_No9: tokens=391, perplexity=1.3210
Giuliani_Cahier%20II_Rondo_No1: tokens=1023, perplexity=1.3913
Giuliani_Etude_No16_Op48: tokens=191, perplexity=2.0300
Giuliani_Etude_No18_Op48: tokens=161, perplexity=1.6730
Giuliani_Etude_No20_Op48: tokens=192, perplexity=1.4842
Giuliani_Etudes_Op1_Pt3_No2: tokens=63, perplexity=2.8957
Giuliani_Etudes_Op1_Pt4_No6: tokens=152, perplexity=1.6868
Giuliani_Etudes_Op1_Pt4_No8: tokens=211, perplexity=1.8446
Giuliani_Gran_Duetto_Concertante_Op52: tokens=1020, perplexity=1.6687
Giuliani_Landler_No5_Op94: tokens=259, perplexity=1.3101
Giuliani_Landler_No7_Op55: tokens=255, perplexity=1.3138
Giuliani_Marche_Opera_Les_Deux_Journees_Cherubini: tokens=1023, perplexity=1.8637
Giuliani_Op1_Parte2_No10: tokens=121, perplexity=1.6664
Giuliani_Op1_Parte2_No8: tokens=111, perplexity=1.6452
Giuliani_Op51_No11: tokens=198, perplexity=1.5694
Giuliani_Op51_No18: tokens=337, perplexity=1.7505
Giuliani_Op74_No13_Menuetto: tokens=581, perplexity=1.6366
Giuliani_Papillon_Op50_No14: tokens=71, perplexity=1.8486
Giuliani_Papillon_Op50_No31: tokens=142, perplexity=1.8792
Giuliani_Papillon_Op50_No6: tokens=185, perplexity=1.9469
Giuliani_Polonaise_Concertante_No3_Op137: tokens=1019, perplexity=2.2171
Giuliani_Rondeau_No2_Op66: tokens=1023, perplexity=1.5611
Giuliani_Rondeau_Op14_No5: tokens=554, perplexity=1.3251
Giuliani_Rondo_No1_Op94: tokens=1023, perplexity=1.4189
Giuliani_Rossiniana_No1_Op119_Andante_graciozo_maestoso_moderato: tokens=965, perplexity=2.0107
Giuliani_Rossiniana_No5_Op123: tokens=1023, perplexity=2.8489
Giuliani_Rossiniana_No6_Op124: tokens=1023, perplexity=1.8318
Giuliani_Semiramide: tokens=1023, perplexity=2.0152
Giuliani_Tersicore_Op147_No2: tokens=308, perplexity=1.7063
Giuliani_Tersicore_Op147_No5: tokens=445, perplexity=1.7397
Giuliani_Variations_Handel_Op107: tokens=1023, perplexity=1.2662
Gnattali_Estudo_No1: tokens=703, perplexity=1.9582
Granados_Arabesca_No12_Op37: tokens=1017, perplexity=1.6275
Granados_Danza_Espagnola_No7_Op37: tokens=1023, perplexity=1.5564
Granados_Villanesca_Op37_No4: tokens=1015, perplexity=1.6934
Haendel_Menuet_HWV500: tokens=180, perplexity=1.5681
Handel_Aylesford_Menuet_in_D: tokens=360, perplexity=1.7698
Handel_Suite_No11_Courante: tokens=729, perplexity=1.6160
Holborne_French_Toy: tokens=351, perplexity=1.5294
Holborne_Heigh_Ho_Holiday: tokens=272, perplexity=1.8285
Holborne_The_Farewell: tokens=577, perplexity=1.9914
Jobim_Insensatez: tokens=665, perplexity=1.9250
Jobim_Luiza: tokens=852, perplexity=1.4250
Lauro_Nino: tokens=508, perplexity=1.8086
Lauro_Valse_Venezolano_No4: tokens=893, perplexity=1.5788
Lauro_Virgilio: tokens=1023, perplexity=1.3577
Lawes_Suite_Alman: tokens=454, perplexity=2.0310
Lawes_Suite_Corant1: tokens=364, perplexity=2.0556
Lawes_Suite_Corant2: tokens=454, perplexity=2.0073
Lawes_Why_So_Pale: tokens=160, perplexity=1.7633
LeRoy_Cinquieme_Branle_Bourgogne: tokens=88, perplexity=1.7353
Leclercq_Mediane: tokens=864, perplexity=1.8141
Leclercq_Parallele: tokens=352, perplexity=1.9840
Leclercq_Six_Couleurs_Arlequin: tokens=356, perplexity=1.6023
Leclercq_Six_Couleurs_Cyclamen: tokens=268, perplexity=1.6187
Leclercq_Six_Couleurs_Noir: tokens=198, perplexity=1.9570
Leclercq_Six_Couleurs_Orange: tokens=266, perplexity=1.5546
Leclercq_Six_Couleurs_Pourpre: tokens=221, perplexity=1.6402
Leclercq_Six_Couleurs_Turquoise: tokens=199, perplexity=1.4605
Legnani_Caprice_No13_Op20: tokens=430, perplexity=1.5891
Legnani_Caprice_No24_Op20: tokens=694, perplexity=1.2595
Legnani_Caprice_No3_Op20: tokens=407, perplexity=1.3362
Legnani_Caprice_No5_Op250: tokens=482, perplexity=1.3292
Legnani_Recueil_Melodies_Modernes_Deuxieme_Op222_No2: tokens=1020, perplexity=1.6173
Llobet_Mazurka: tokens=1023, perplexity=1.5577
Llobet_Prelude_Original: tokens=154, perplexity=1.8501
